Material|Material Description|Sales Value (Rp)|Sales Value ($)|Calculated Value (Rp|Calculated Value ($)|P/L Value (Rp)|P/L Value ($)|Billing Da|Billing Nu|Billin
DTL000000004|JASA TOLLING|               0.00|               0.00|               0.00|               0.00|               0.00|               0.00|31.01.2017|8000002676|000010
DTL000000004|JASA TOLLING|               0.00|               0.00|               0.00|               0.00|               0.00|               0.00|26.01.2017|8000002678|000010
DTL000000004|JASA TOLLING|               0.00|               0.00|               0.00|               0.00|               0.00|               0.00|31.01.2017|8000002677|000010
DTL000000004|JASA TOLLING|               0.00|               0.00|               0.00|               0.00|               0.00|               0.00|26.01.2017|8000002679|000010
DTL000000004|JASA TOLLING|               0.00|               0.00|               0.00|               0.00|               0.00|               0.00|26.01.2017|8000002673|000010
DTL000000004|JASA TOLLING|               0.00|               0.00|               0.00|               0.00|               0.00|               0.00|19.01.2017|8000002667|000010
BCP102|Coal Tar COP|         2000000.00|             146.39|            5242.70|              38.38|           14757.30|             108.01|26.01.2017|8000002675|000010
BCP103|Sulfur COP|         4000000.00|             292.80|             173.90|               1.28|           39826.10|             291.52|26.01.2017|8000002675|000020
BCP104|Amonium Sulfate COP|         6000000.00|             439.20|             267.32|               1.96|           59732.68|             437.24|26.01.2017|8000002675|000030
BCP105|Crude Benzol COP|         8000000.00|             585.60|            1892.04|              13.84|           78107.96|             571.76|26.01.2017|8000002675|000040
BBF103|Granulated Slag BF|        10000000.00|             732.00|            3192.00|              24.00|           96808.00|             708.00|26.01.2017|8000002675|000050
MCP101|Coke|       650000000.00|           47580.00|         3695971.62|           24668.31|         2804028.38|           22911.69|30.12.2016|8000002666|000010
