Material|Material Description|Sales Value (Rp)|Sales Value ($)|Billing Date|Billing Number|Net Weight|UoM|Dist. Channel|Invoice Value (Rp)|DP Value (Rp)|PPn Value (Rp)|PPh Value (Rp)|Invoice Value ($)|DP Value ($)|PPn Value ($)|PPh Value ($)
HSF-S|H R Sheet/Plate Finished - Stock|   2.035.956.400,00|         135.839,01|20181002|8000264594|         45.087,000|PC|D0|   2.035.956.400,00|               0,00|     203.595.640,00|               0,00|         135.839,01|               0,00|          13.583,90|               0,00
HSF-S|H R Sheet/Plate Finished - Stock|               0,00|               0,00|20181002|8000264594|         35.230,000|PC|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF-S|H R Sheet/Plate Finished - Stock|               0,00|               0,00|20181002|8000264594|          8.400,000|PC|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF-S|H R Sheet/Plate Finished - Stock|               0,00|               0,00|20181002|8000264594|         13.821,000|PC|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF-S|H R Sheet/Plate Finished - Stock|               0,00|               0,00|20181002|8000264594|         26.320,000|PC|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      71.610.000,00|           4.804,32|20181001|8000262177|          7.700,000|TO|D0|      78.985.830,00|               0,00|       7.161.000,00|         214.830,00|           5.299,16|               0,00|             480,43|              14,41
HSF|H R Sheet/Plate Finished|      39.901.792,00|           2.662,25|20181002|8000262235|          4.240,000|TO|D0|      44.011.676,00|               0,00|       3.990.179,00|         119.705,00|           2.936,46|               0,00|             266,22|               7,99
HCF|H R Coil Finished|     516.152.000,00|          34.210,56|20181003|8000262399|          7.160,000|TO|D0|     567.767.200,00|               0,00|      51.615.200,00|               0,00|          37.631,61|               0,00|           3.421,05|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262399|          7.760,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262399|         17.820,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262399|          8.000,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262399|         15.980,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
PCF|H R P&O Coil Finished|     103.008.000,00|           6.827,37|20181003|8000262411|         10.730,000|TO|D0|     113.617.824,00|               0,00|      10.300.800,00|         309.024,00|           7.530,59|               0,00|             682,74|              20,48
HCF|H R Coil Finished|     290.654.000,00|          19.264,55|20181003|8000262400|          7.420,000|TO|D0|     319.719.400,00|               0,00|      29.065.400,00|               0,00|          21.191,00|               0,00|           1.926,45|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262400|         16.280,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262400|          8.240,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|      88.136.000,00|           5.841,65|20181003|8000262412|          9.580,000|TO|D0|      97.214.008,00|               0,00|       8.813.600,00|         264.408,00|           6.443,34|               0,00|             584,17|              17,52
HSF|H R Sheet/Plate Finished|               0,00|               0,00|20181003|8000262403|         21.570,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HSF|H R Sheet/Plate Finished|     569.335.822,00|          37.735,58|20181003|8000262403|         36.370,000|TO|D0|     627.977.411,00|               0,00|      56.933.582,00|       1.708.007,00|          41.622,34|               0,00|           3.773,56|             113,20
HCF|H R Coil Finished|      83.514.000,00|           5.535,30|20181003|8000262436|          8.980,000|TO|D0|      92.115.942,00|               0,00|       8.351.400,00|         250.542,00|           6.105,44|               0,00|             553,53|              16,61
HCF|H R Coil Finished|      69.184.000,00|           4.641,55|20181001|8000262201|          7.520,000|TO|D0|      76.309.952,00|               0,00|       6.918.400,00|         207.552,00|           5.119,63|               0,00|             464,16|              13,92
HCF|H R Coil Finished|      91.698.000,00|           6.152,02|20181001|8000262202|          9.860,000|TO|D0|     101.142.894,00|               0,00|       9.169.800,00|         275.094,00|           6.785,68|               0,00|             615,20|              18,46
PCF|H R P&O Coil Finished|      92.464.416,00|           6.203,44|20181001|8000262168|          8.910,000|TO|D0|     101.710.857,00|               0,00|       9.246.441,00|               0,00|           6.823,78|               0,00|             620,34|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262376|         10.420,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|   1.121.730.000,00|          74.348,27|20181003|8000262376|         51.420,000|TO|D0|   1.237.268.190,00|               0,00|     112.173.000,00|       3.365.190,00|          82.006,14|               0,00|           7.434,83|             223,04
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262376|         45.020,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262376|         11.100,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|   1.333.824.000,00|          89.486,25|20181001|8000262160|         43.600,000|TO|D0|   1.471.207.872,00|               0,00|     133.382.400,00|       4.001.472,00|          98.703,34|               0,00|           8.948,63|             268,46
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262160|         52.800,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181001|8000262160|         42.540,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     826.368.000,00|          55.135,29|20181002|8000262221|         22.160,000|TO|D0|     911.483.904,00|               0,00|      82.636.800,00|       2.479.104,00|          60.814,21|               0,00|           5.513,52|             165,40
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262221|         10.800,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262221|         32.360,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181002|8000262221|         20.760,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     513.408.000,00|          34.028,69|20181003|8000262377|         21.080,000|TO|D0|     566.289.024,00|               0,00|      51.340.800,00|       1.540.224,00|          37.533,64|               0,00|           3.402,87|             102,08
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262377|         21.140,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|               0,00|               0,00|20181003|8000262377|         11.260,000|TO|D0|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00|               0,00
HCF|H R Coil Finished|     517.632.000,00|          34.727,94|20181001|8000262161|         53.920,000|TO|D0|     570.948.096,00|               0,00|      51.763.200,00|       1.552.896,00|          38.304,91|               0,00|           3.472,79|             104,18
HCF|H R Coil Finished|     903.552.000,00|          60.284,98|20181002|8000262222|         62.880,000|TO|D0|     996.617.856,00|               0,00|      90.355.200,00|       2.710.656,00|          66.494,34|               0,00|           6.028,50|             180,86
