Level|WBS Element|Description|IM Position|IM Budget Overall|WBS Budget Overall|Act. Payment TOTAL|Available Overall|Progress Overall (%)
   1|I-3009-11-001|Blast Furnace|111111-PK05-1401003|7.966.130.024.636|7.966.130.024.636|5.102.873.332.843|2.863.256.691.793|64
   1|I-3009-11-005|Proyek HSM #2|112007-PK05-1401003|6.249.521.792.249|5.859.942.869.249|3.140.699.795.437|2.719.243.073.812|54
   1|I-2009-11-002|Revitalisasi SSP I|113001-PK05-1401003|917.287.448.830|909.012.448.830|36.352.636.860|872.659.811.970|4
   1|I-3016-11-003|Push Pull Pickling Line & Reversing Mill|113401-PK05-1401004|142.165.638.000|664.164.833.137|98.000.000|664.066.833.137|0
   1|I-3009-11-003|Integrated Steel Mill (JV)|112006-PK05-1401003|615.002.962.894|615.002.962.894|5.577.893.790|609.425.069.104|1
   1|I-2009-11-001|Revitalisasi DRP|112801-PK05-1401003|602.797.010.317|561.411.890.317|121.593.747.314|439.818.143.003|22
   1|I-5014-11-001|Pengadaan Lahan Pabrik Baja Terpadu #2|112401-PK05-1401002|200.000.000|209.997.624.000|0|209.997.624.000|0
   1|I-2017-11-001|Revitalisasi HSM|113301-PK05-1401004|152.211.003.949|120.520.623.300|0|120.520.623.300|0
   1|I-3009-11-002|Modernisasi SSP II|113022-PK05-1401004|60.639.000.000|60.639.000.000|15.089.081.110|45.549.918.890|25
   1|I-1011-11-003|MES|112003-PK05-1401007|72.640.125.674|56.640.125.674|0|56.640.125.674|0
   1|I-5011-11-002|Pemb. Pabrik Kapur II|112631-PK05-1401003|55.750.000.000|54.800.000.000|0|54.800.000.000|0
   1|I-4016-11-015|UPGRADING SISTEM OTOMASI CTCM TAHAP I (1|113401-PK05-1401004|142.165.638.000|49.300.000.000|28.314.877.682|20.985.122.318|57
   1|I-2016-11-002|Revitalisasi BSP|113201-PK05-1401004|64.601.000.000|47.348.000.000|0|47.348.000.000|0
   1|I-3009-11-006|Tension Leveler|113401-PK05-1401004|142.165.638.000|46.461.719.507|52.957.800|46.408.761.707|0
   1|I-5013-11-003|Pengadaan Mesin Gerinda Baru HSM|113301-PK05-1401004|152.211.003.949|36.106.316.704|32.515.045.500|3.591.271.204|90
   1|I-4010-11-025|Penambahan Peningkatan Tanah Kubangsari|111554-PK05-1401001|34.500.000.000|34.000.000.000|0|34.000.000.000|0
   1|I-3016-11-002|Implementasi Tekn. Surface Defect Det.|113401-PK05-1401004|142.165.638.000|31.233.300.000|0|31.233.300.000|0
   1|I-3016-11-001|Implementasi Tekn. Hot Roll Oil di HSM#1|113301-PK05-1401004|152.211.003.949|30.167.592.000|0|30.167.592.000|0
   1|I-4011-11-003|Riset Pembangunan Dormitory|112104-PK05-1401003|25.000.000.000|25.000.000.000|0|25.000.000.000|0
   1|I-4016-11-007|IT Disaster Recovery Centre|112201-PK05-1401008|0|24.919.423.000|0|24.919.423.000|0
   1|I-4010-11-013|Relokasi kantor PBS / PPBS (area Hyl-3)|112801-PK05-1401003|602.797.010.317|23.365.920.000|642.041.828|22.723.878.172|3
   1|I-4011-11-005|Revitalisasi Pabrik Gas Industri|112641-PK05-1401004|40.308.460.643|22.500.000.000|0|22.500.000.000|0
   1|I-4010-11-007|Horizontal Boring & Milling Machine|112621-PK05-1401004|21.000.000.000|21.000.000.000|0|21.000.000.000|0
   1|I-4011-11-011|Rekondisi Compresor Oxygen|112641-PK05-1401004|40.308.460.643|17.808.460.643|17.766.372.225|42.088.418|100
   1|I-4016-11-016|Pembangunan Gudang 26|112523-PK05-1401003|54.829.689.000|17.490.777.936|13.729.391.765|3.761.386.171|78
   1|I-4015-11-010|Pembangunan Energy Control Center|112631-PK05-1401003|55.750.000.000|16.560.700.000|16.560.000.000|700.000|100
   1|I-4018-11-038|Upgrade control PLC dan drive TPM|113401-PK05-1401004|142.165.638.000|16.000.000.000|0|16.000.000.000|0
   1|I-1012-11-001|Implementasi Paralel Curr &Data Conv SAP|112003-PK05-1401007|72.640.125.674|16.000.000.000|0|16.000.000.000|0
   1|I-4010-11-012|Pemb. Gudang & Mat. Handling DRI ex MJIS|112801-PK05-1401003|602.797.010.317|13.020.000.000|0|13.020.000.000|0
   1|I-4011-11-009|Gudang Produk Otomotif|112523-PK05-1401003|54.829.689.000|9.500.000.000|0|9.500.000.000|0
   1|I-1011-11-001|Stabilisasi & Enhancement SAP|112201-PK05-1401007|9.471.000.000|9.471.000.000|0|9.471.000.000|0
   1|I-4011-11-014|Penggantian Control System EAF 4 BSP|113105-PK05-1401004|9.000.000.000|9.000.000.000|0|9.000.000.000|0
   1|I-4015-11-009|Penambahan Boiler 1 unit Kap. 23 ton|113401-PK05-1401004|142.165.638.000|8.000.000.000|7.191.500.000|808.500.000|90
   1|I-4011-11-012|Pembangunan Work Shop V Khusus Segment|113001-PK05-1401003|917.287.448.830|7.875.000.000|3.479.815.594|4.395.184.406|44
   1|I-4017-11-014|Pembuatn Jalan Beton HSM-CRM & Pertg PPC|111555-PK05-1401002|9.469.280.000|7.336.368.000|4.500.650.000|2.835.718.000|61
   1|I-4011-11-002|Pembangunan Mesin Briquette Fines Sponge|112801-PK05-1401004|9.335.916.403|7.335.916.403|6.610.435.012|725.481.391|90
