IM Position|Description|Approval Year|Program Plan|Program Budget|Appr. Request Plan|MRA Available Budget|Appr. Request|AR Description|AR Value|Actual
111001|Direktur Utama|2018|         1074770000|          537385000|                  0|          537385000|||                  0|                  0
111001-PK03|GM Corporate Finance|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK03-6106001|Biaya Asuransi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK06|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK06-6102007|Makan & Ekstra Food|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK06-6102009|Fasilitas Olah Raga|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK06-6111005|Biaya Peningkatan Mutu Manajemen|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK08|GM Security & General Affair|2018|         1074770000|          537385000|                  0|          537385000|||                  0|                  0
111001-PK08-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK08-6106002|Biaya Sewa Kendaraan Utility|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK08-6106004|Biaya Sewa Lain-Lain|2018|         1074770000|          537385000|                  0|          537385000|||                  0|                  0
111001-PK08-6108004|Perangko dan Telegram|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK08-6108005|Telepon, Teleks dan Facsimile|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK08-6112001|Office Supplies & Perlengkapan Kantor|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK08-6112006|Ongkos Percetakan dan Reproduksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK12|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK12-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK13|Corporate Secretary|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK13-6112002|Langganan-langganan dan Penerbitan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK13-6112003|Ongkos-ongkos dan Biaya Assosiasi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK13-6112004|Ongkos-ongkos Representasi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK13-6112005|Biaya Relasi Perusahaan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK13-6112007|Biaya Bantuan Sosial|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK13-6112008|Legal  Fees|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK13-6112009|Ongkos-ongkos Umum Lainnya|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111001-PK13-6201001|Iklan dan Promosi Penjualan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002|Dewan Komisaris|2018|           32500000|           10500000|                  0|           10500000|||                  0|                  0
111002-PK03|GM Corporate Finance|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK03-6106001|Biaya Asuransi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK06|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK06-6102007|Makan & Ekstra Food|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK06-6110001|Biaya Tenaga Ahli dan Konsultan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK08|GM Security & General Affair|2018|            9500000|            4750000|                  0|            4750000|||                  0|                  0
111002-PK08-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK08-6105003|Biaya Perawatan Prasarana|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK08-6105006|By Perawatan Peralatan Kantor&Perabotan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK08-6106004|Biaya Sewa Lain-Lain|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK08-6108004|Perangko dan Telegram|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK08-6108005|Telepon, Teleks dan Facsimile|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK08-6112001|Office Supplies & Perlengkapan Kantor|2018|            7000000|            3500000|                  0|            3500000|||                  0|                  0
111002-PK08-6112006|Ongkos Percetakan dan Reproduksi|2018|            2500000|            1250000|                  0|            1250000|||                  0|                  0
111002-PK10|GM SCM & Quality Assurance|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK10-1401006|Peralatan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK10-6112001|Office Supplies & Perlengkapan Kantor|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK12|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK12-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK13|Corporate Secretary|2018|           23000000|            5750000|                  0|            5750000|||                  0|                  0
111002-PK13-6112002|Langganan-langganan dan Penerbitan|2018|            7000000|            1750000|                  0|            1750000|||                  0|                  0
111002-PK13-6112004|Ongkos-ongkos Representasi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111002-PK13-6112005|Biaya Relasi Perusahaan|2018|           10000000|            2500000|                  0|            2500000|||                  0|                  0
111002-PK13-6112009|Ongkos-ongkos Umum Lainnya|2018|            6000000|            1500000|                  0|            1500000|||                  0|                  0
111003|Manajemen Proyek Strategis|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111003-PK06|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111003-PK06-6110001|Biaya Tenaga Ahli dan Konsultan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111003-PK08|GM Security & General Affair|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111003-PK08-6112001|Office Supplies & Perlengkapan Kantor|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111003-PK12|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111003-PK12-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111003-PK13|Corporate Secretary|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111003-PK13-6112005|Biaya Relasi Perusahaan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101|Corporate Secretary|2018|        14815157000|         7522828500|          115310000|         7407518500|||                  0|                  0
111101-PK05|GM Program Management Office|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK05-1401003|Gedung Dan Bangunan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK06|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK06-6102007|Makan & Ekstra Food|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK06-6110001|Biaya Tenaga Ahli dan Konsultan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK06-6111005|Biaya Peningkatan Mutu Manajemen|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK07|GM Central Maintenance & Facilities|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK07-6105001|Biaya Perawatan Mesin dan Pabrik|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK07-6105009|Biaya Pemakaian Produk Untuk Perawatan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK07-6105010|Pemakaian Suku Cadang|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK07-6105012|Biaya Reparasi Dan Perawatan Non Spare|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK08|GM Security & General Affair|2018|        14682157000|         7489578500|          106310000|         7383268500|||                  0|                  0
111101-PK08-1401006|Peralatan|2018|          297000000|          297000000|           49100000|          247900000|2004697|Peralatan|           40150000|                  0
111101-PK08-1401006||0000|                  0|                  0|                  0|                  0|2004841|Peralatan|            8950000|                  0
111101-PK08-1401008|Aktiva Tetap Lain-lain|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK08-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK08-6105002|Biaya Perawatan Gedung|2018|        12511807000|         6275903500|           27230000|         6248673500|2402153|Biaya Perawatan|           12230000|                  0
111101-PK08-6105002||0000|                  0|                  0|                  0|                  0|2402200|Biaya Perawatan Gedung|           15000000|                  0
111101-PK08-6105003|Biaya Perawatan Prasarana|2018|          850000000|          425000000|                  0|          425000000|||                  0|                  0
111101-PK08-6105006|By Perawatan Peralatan Kantor&Perabotan|2018|          195000000|           77500000|                  0|           77500000|||                  0|                  0
111101-PK08-6105007|Biaya Perawatan Mess & Rumah Dinas|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK08-6105099|Biaya Reparasi Dan Perawatan lainnya|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK08-6106004|Biaya Sewa Lain-Lain|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK08-6108004|Perangko dan Telegram|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK08-6108005|Telepon, Teleks dan Facsimile|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK08-6112001|Office Supplies & Perlengkapan Kantor|2018|          818350000|          409175000|           29980000|          379195000|2004868|Peralatan|           14990000|                  0
111101-PK08-6112001||0000|                  0|                  0|                  0|                  0|2308518|OS & Perlengkapan Kantor|           14990000|                  0
111101-PK08-6112006|Ongkos Percetakan dan Reproduksi|2018|           10000000|            5000000|                  0|            5000000|||                  0|                  0
111101-PK10|GM SCM & Quality Assurance|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK10-1401006|Peralatan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK10-1401008|Aktiva Tetap Lain-lain|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK10-6112001|Office Supplies & Perlengkapan Kantor|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK12|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK12-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK12-6111001|Biaya Pendidikan & Latihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK12-6111002|Biaya Pendidikan & Latihan Luar Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK12-6111003|Biaya SPD Pelatihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK12-6111004|Biaya SPD Pelatihan Luar Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK13|Corporate Secretary|2018|          133000000|           33250000|            9000000|           24250000|||                  0|                  0
111101-PK13-6112002|Langganan-langganan dan Penerbitan|2018|           12000000|            3000000|                  0|            3000000|||                  0|                  0
111101-PK13-6112003|Ongkos-ongkos dan Biaya Assosiasi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK13-6112004|Ongkos-ongkos Representasi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK13-6112005|Biaya Relasi Perusahaan|2018|           42000000|           10500000|                  0|           10500000|||                  0|                  0
111101-PK13-6112007|Biaya Bantuan Sosial|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK13-6112008|Legal  Fees|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111101-PK13-6112009|Ongkos-ongkos Umum Lainnya|2018|           79000000|           19750000|            9000000|           10750000|2308508|Ongkos Umum|            9000000|                  0
111101-PK13-6201001|Iklan dan Promosi Penjualan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111102|Divisi Hubungan Masyarakat|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111102-PK08|GM Security & General Affair|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111102-PK08-1401006|Peralatan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103|Divisi Legal Office|2018|         6540500000|         1895500000|          839924665|         1055575335|||                  0|                  0
111103-PK06|GM Human Capital Planning & Development|2018|         1000000000|          500000000|                  0|          500000000|||                  0|                  0
111103-PK06-6102007|Makan & Ekstra Food|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK06-6110001|Biaya Tenaga Ahli dan Konsultan|2018|         1000000000|          500000000|                  0|          500000000|||                  0|                  0
111103-PK06-6111005|Biaya Peningkatan Mutu Manajemen|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK07|GM Central Maintenance & Facilities|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK07-6105099|Biaya Reparasi Dan Perawatan lainnya|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK08|GM Security & General Affair|2018|           40500000|           20500000|                  0|           20500000|||                  0|                  0
111103-PK08-1401006|Peralatan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK08-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK08-6105006|By Perawatan Peralatan Kantor&Perabotan|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK08-6108004|Perangko dan Telegram|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK08-6108005|Telepon, Teleks dan Facsimile|2018|           10000000|            5000000|                  0|            5000000|||                  0|                  0
111103-PK08-6112001|Office Supplies & Perlengkapan Kantor|2018|           30500000|           15500000|                  0|           15500000|||                  0|                  0
111103-PK08-6112006|Ongkos Percetakan dan Reproduksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK10|GM SCM & Quality Assurance|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK10-6112001|Office Supplies & Perlengkapan Kantor|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK12|GM Human Capital Planning & Development|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK12-6101005|Jasa Borongan Outsourcing Non Produksi|2018|                  0|                  0|                  0|                  0|||                  0|                  0
111103-PK12-6111001|Biaya Pendidikan & Latihan Dalam Negeri|2018|                  0|                  0|                  0|                  0|||                  0|                  0
