Vendor|Vendor Name|Document Number|G/L Account|Posting Date|Document Date|Reference|Net Due Date|Amount in Doc Curr|Document Currency|Local Currency|Local Currency 2|Text
500001|BANK NEGARA INDONESIA (BNI) 1946|100051667|2101003|20180417|20180417|3111040823|20180417|         9231222.00-|USD|IDR|USD|TR USD ILCGN01734O18-01/3111040823/SLAB PT KP
500001|BANK NEGARA INDONESIA (BNI) 1946|100051519|2101001|20180406|20180406|3112002368|20180406|        12889044.88-|USD|IDR|USD|UPAS ILCGN00867V18-01/3112002368/COAL/MORANBANH
500001|BANK NEGARA INDONESIA (BNI) 1946|100035476|2101003|20180316|20180316|3112002243|20180316|        16390816.00-|USD|IDR|USD|TR ILCGN004649V17-01/3112002243/GS GLOBAL
500001|BANK NEGARA INDONESIA (BNI) 1946|100035472|2101003|20180330|20180330|3112002244|20180330|        17522138.00-|USD|IDR|USD|TR ILCGN04452V17-01/3112002244/STEELSLAB MACSTEEL
500001|BANK NEGARA INDONESIA (BNI) 1946|100001151|2101003|20180109|20180109|3111038932|20180109|         1172827.53-|USD|IDR|USD|TR USD ILCGN097417O17-02/3111038932/STEEL SLAB KP
500001|BANK NEGARA INDONESIA (BNI) 1946|100132591|2101003|20171207|20171114|3111038585|20171207|         3805494.44-|USD|IDR|USD|TR USD ILGN06548017-03/3111038585/STEEL SLAB KP
500001|BANK NEGARA INDONESIA (BNI) 1946|100126041|2101003|20171127|20171127|3112002210|20171127|        11263408.65-|USD|IDR|USD|UPAS ILCGN02376V17-01/3112002210/HRC GS GLOBAL
500001|BANK NEGARA INDONESIA (BNI) 1946|100124541|2101003|20171114|20171114|3111038585|20171114|          872167.20-|USD|IDR|USD|TR USD ILCGN06548O17-04/3111038585/STEEL SLAB KP
500001|BANK NEGARA INDONESIA (BNI) 1946|100120977|2101003|20171106|20171106|3112002178|20171106|        17591707.50-|USD|IDR|USD|UPAS ILCGN01502V17/3112002178/SLABS EAST METAL
500008|BANK MANDIRI (PERSERO). PT|100050494|2101003|20180425|20180425|3112002344|20180425|         6630071.90-|USD|IDR|USD|TR MI77106104526-01/3112002344/HRC GS GLOBAL
500008|BANK MANDIRI (PERSERO). PT|100050365|2101001|20180420|20180420|3111040976|20180420|        37633282240-|IDR|IDR|USD|UPAU MS77106096490-01/3111040976/SLAB KP
500008|BANK MANDIRI (PERSERO). PT|100048692|2101001|20180417|20180417|3112002382|20180417|         2152500.00-|USD|IDR|USD|UPAS MI77106105756/3112002382/FANGDA GRAPHITE
