G/L Account|Assignment|Document Number|Posting Date|Document Date|Amount in doc. curr|Document Currency|Text
2101002|1100 001|100000234|04.09.2012|28.09.2012|        700.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000000
2101002|1100 001|100000235|24.09.2012|28.09.2012|        700.000.000|IDR|*MM1121- KMK - Penarikan / Final Re 3000000000000
2101002|1100 001|100000249|05.09.2012|28.09.2012|        150.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000001
2101002|1100 001|100000250|24.09.2012|28.09.2012|        150.000.000|IDR|*MM1121- KMK - Penarikan / Final Re 3000000000001
2101002|1100 001|100000382|19.12.2012|19.12.2012|        250.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000002
2101002|1100 001|100000383|19.12.2012|19.12.2012|        250.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000003
2101002|1100 001|100000384|24.12.2012|19.12.2012|        250.000.000|IDR|*MM1121- KMK - Penarikan / Final Re 3000000000003
2101002|1100 001|100000230|08.07.2013|08.07.2013|            125.000-|IDR|*AD1002 Accruals: Expenses 3000000000004
2101002|1100 001|100000231|09.07.2013|08.07.2013|            125.000|IDR|*AD1003 Reseet Accruals: Expenses 3000000000004
2101002|1100 001|100000232|08.07.2013|08.07.2013|        500.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000004
2101002|1100 001|100000233|08.07.2013|08.07.2013|        500.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000005
2101002|1100 001|100000234|09.07.2013|09.07.2013|            222.222-|IDR|*AD1002 Accruals: Expenses 3000000000005
2101002|1100 001|100000235|10.07.2013|09.07.2013|            222.222|IDR|*AD1003 Reseet Accruals: Expenses 3000000000005
2101002|1100 001|100000236|08.07.2013|09.07.2013|        500.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000005
2101002|1100 001|100000237|08.07.2013|09.07.2013|            111.111-|IDR|*AD1002 Accruals: Expenses 3000000000005
2101002|1100 001|100000238|09.07.2013|09.07.2013|            111.111|IDR|*AD1003 Reseet Accruals: Expenses 3000000000005
2101002|1100 001|100000239|08.07.2013|09.07.2013|        500.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000005
2101002|1100 001|100000240|09.07.2013|09.07.2013|        500.000.000|IDR|*MM1121- KMK - Penarikan / Final Re 3000000000005
2101002|1100 001|100000242|09.04.2013|09.07.2013|        120.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000006
2101002|1100 001|100000243|09.07.2013|09.07.2013|        120.000.000|IDR|*MM1121- KMK - Penarikan / Final Re 3000000000006
2101002|1100 001|100000244|09.07.2013|09.07.2013|            250.000-|IDR|*AD1002 Accruals: Expenses 3000000000004
2101002|1100 001|100000245|10.07.2013|09.07.2013|            250.000|IDR|*AD1003 Reseet Accruals: Expenses 3000000000004
2101002|1100 001|100000246|09.07.2013|09.07.2013|        300.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000007
2101002|1100 001|100000247|31.07.2013|09.07.2013|          1.725.000-|IDR|*AD1002 Accruals: Expenses 3000000000007
2101002|1100 001|100000248|01.08.2013|09.07.2013|          1.725.000|IDR|*AD1003 Reseet Accruals: Expenses 3000000000007
2101002|1100 001|100000249|15.08.2013|09.07.2013|        300.000.000|IDR|*MM1121- KMK - Penarikan / Final Re 3000000000007
2101002|1100 001|100000256|09.07.2013|09.07.2013|        500.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000009
2101002|1100 001|100000310|10.06.2013|22.08.2013|      1.000.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000011
2101002|1100 001|100000311|11.07.2013|22.08.2013|      1.000.000.000|IDR|*MM1121- KMK - Penarikan / Final Re 3000000000011
2101002|1100 001|100000525|19.11.2013|19.11.2013|      2.800.000.000-|IDR|*MM1105+ Borrowing / Increase 3000000000013
| * | | | | | 5.050.000.000-|IDR | |
