Deskripsi Kode|Material|Plant|Sloc|Quantity
Billet (Produksi)|BS1KS1006-3271|BSP|B102|                  1,540
Billet (Produksi)|BS1KS1006-3271|WRM|W001|                 24,862
Billet (Produksi)|BS1KS1006-3371|BSP|B100|                  3,495
Billet (Produksi)|BS1KS1006-3371|BSP|B102|                  1,165
Billet (Produksi)|BS1KS1006-3371|WRM|W001|                 10,485
Billet (Produksi)|BS1KS1006E1-3272|BSP|B101|                  0,776
Billet (Produksi)|BS1KS1006E1-3272|BSP|B102|                  3,896
Billet (Produksi)|BS1KS1006E1-3272|WRM|W001|                 93,120
Billet (Produksi)|BS1KS1006E3-3372|BSP|B102|                  1,169
Billet (Produksi)|BS1KS1006E3-3372|WRM|W001|                  1,169
Billet (Produksi)|BS1KS1008-3271|BSP|B102|                  5,208
Billet (Produksi)|BS1KS1008-3371|BSP|B100|                  1,165
Billet (Produksi)|BS1KS1008-3371|BSP|B102|                  5,825
Billet (Produksi)|BS1KS1008-3372|WRM|W001|                 76,890
Billet (Produksi)|BS1KS1008C-3272|BSP|B102|                  1,560
Billet (Produksi)|BS1KS1008C-3273|BSP|B102|                  0,780
Billet (Produksi)|BS1KS1008C-3373|WRM|W001|                  2,330
Billet (Produksi)|BS1KS1008C-3473|BSP|B102|                  4,665
Billet (Produksi)|BS1KS1008E2-3372|WRM|W001|                 20,970
Billet (Produksi)|BS1KS1008K-3371|WRM|W001|                 30,290
Billet (Produksi)|BS1KS1010-3271|WRM|W001|                 14,744
Billet (Produksi)|BS1KS1010-3371|BSP|B102|                 43,105
Billet (Produksi)|BS1KS1012-3271|WRM|W001|                  1,552
Billet (Produksi)|BS1KS1012-3371|BSP|B102|                  1,165
Billet (Produksi)|BS1KS1015-2270|BSP|B102|                  0,680
Billet (Produksi)|BS1KS1015-2470|BSP|B101|                  1,332
Billet (Produksi)|BS1KS1015-3270|BSP|B102|                  1,560
Billet (Produksi)|BS1KS1015-3271|WRM|W001|                  3,104
Billet (Produksi)|BS1KS1015-3370|BSP|B102|                 13,980
Billet (Produksi)|BS1KS1015-3371|WRM|W001|                  1,165
Billet (Produksi)|BS1KS1015C-3273|BSP|B102|                  2,340
Billet (Produksi)|BS1KS1015C-3473|BSP|B102|                  3,110
Billet (Produksi)|BS1KS1020-3271|BSP|B102|                  0,676
Billet (Produksi)|BS1KS1032-3374|WRM|W001|                  9,360
Billet (Produksi)|BS1KS1062A-3374|WRM|W001|                  2,344
Billet (Produksi)|BS1KS1062B-3374|BSP|B102|                  1,172
Billet (Produksi)|BS1KS1067A-3373|BSP|B102|                  5,860
Billet (Produksi)|BS1KS1067A-3373|BSP|B111|                  1,172
Billet (Produksi)|BS1KS1067A-3373|WRM|W001|                  7,032
Billet (Produksi)|BS1KS1067A-3374|BSP|B102|                  4,688
Billet (Produksi)|BS1KS1067B-3373|BSP|B102|                  2,344
Billet (Produksi)|BS1KS1067B-3373|BSP|B111|                  2,344
Billet (Produksi)|BS1KS1067B-3374|BSP|B100|                  4,688
Billet (Produksi)|BS1KS1067B-3374|BSP|B101|                  3,516
Billet (Produksi)|BS1KS1067B-3374|BSP|B102|                  3,516
Billet (Produksi)|BS1KS1072B-3374|BSP|B101|                  3,516
Billet (Produksi)|BS1KS1077B-3373|WRM|W001|                 15,236
Billet (Produksi)|BS1KS1082B2-3274|BSP|B100|                  0,779
Billet (Produksi)|BS1KS1082B2-3274|BSP|B101|                 17,138
Billet (Produksi)|BS1KS1082B2-3374|BSP|B101|                  0,003
Billet (Produksi)|BS1KS1082B2-3374|WRM|W001|                  1,172
Billet (Produksi)|BS1KS1082B2-3474|BSP|B101|                 44,600
Billet (Produksi)|BS1KS1082B2-3474|BSP|B102|                 76,195
Billet (Produksi)|BS1KS1208WS-3372|WRM|W001|                  2,344
Billet (Produksi)|BS1KS1230-3270|BSP|B100|                  2,328
Billet (Produksi)|BS1KS1230-3270|BSP|B101|                  0,776
Billet (Produksi)|BS1KS1318-3370|BSP|B101|                  3,516
Billet (Produksi)|BS1KS1318-3370|WRM|W001|                 21,096
Billet (Produksi)|BS1KS1325V2-2470|BSP|B102|                  5,238
Billet (Produksi)|BS1KS1325V2-3270|BSP|B102|                  0,776
Billet (Produksi)|BS1KS1325V3-3270|BSP|B102|                  5,432
Billet (Produksi)|BS1KS1325V4-3270|BSP|B102|                  3,896
Billet (Produksi)|BS1KS1330N-3370|WRM|W001|                  2,344
Billet (Produksi)|BS1KS24-3370|BSP|B102|                 83,880
Billet (Produksi)|BS1KS24-3470|BSP|B102|                  1,555
Billet (Impor)|BS3KS1006E1-5372|WRM|W001|                 23,746
Billet (Impor)|BS3KS1008-5371|WRM|W001|              1.380,523
Billet (Impor)|BS3KS1008ACH-5375|WRM|W001|                 14,220
Billet (Impor)|BS3KS1067B-5374|WRM|W001|                  1,581
Billet (Impor)|BS51A0603-E250|WRM|W001|                514,807
CRC|CCF|CRM|C009|                  4,710
CRC|CCF|CRM|C009|                  4,930
CRC|CCF|CRM|C009|                 10,090
CRC|CCF|CRM|C009|                  8,190
CRC|CCF|CRM|C009|                  6,980
CRC|CCF|CRM|C009|                  3,400
CRC|CCF|CRM|C009|                 15,690
CRC|CCF|CRM|C009|                 13,895
CRC|CCF|CRM|C009|                  6,745
CRC|CCF|CRM|C009|                 11,070
CRC|CCF|CRM|C009|                  6,510
CRC|CCF|CRM|C009|                  9,540
CRC|CCF|CRM|C009|                  6,940
CRC|CCF|CRM|C009|                  6,860
CRC|CCF|CRM|C101|                  7,490
CRC|CCF|CRM|C101|                 42,840
CRC|CCF|CRM|C101|                 15,835
CRC|CCF|CRM|C101|                  7,380
