Pusat Kendali|Deskripsi|Rekening|Nama Rekening|Realisasi 2017|Real-Rata2 2017|Realisasi Jan 2018|Realisasi Feb 2018|Realisasi Mar 2018|Realisasi Apr 2018|Realisasi Mei 2018|Realisasi Jun 2018|Real-Smt-1 2018|Realisasi Jul 2018|Realisasi Agu 2018|Realisasi Sep 2018|Realisasi Okt 2018|Realisasi Nov 2018|Realisasi Des 2018|Real-Q123 2018|Real Jan-Des 2018|Anggaran Smt-1 2018|Anggaran Per Bulan 2018|RKAP 2018|Anggaran Jan-Des 2018|Sisa Anggaran
-|-|0006105006|Biaya Perwtn Sis.Appl.Inf, Peralatn Kntr|                       0|                       0|                       0|                       0|                       0|                       0|                       0|                       0|                       0|                       0|                 235.000|                       0|                 235.000|                       0|                       0|                       0|                 235.000|                       0|                       0|                       0|                       0|                 235.000-
PK01|PENJUALAN PRODUK UTAMA (CORE)|0006202001|Biaya Klaim dari Konsumen|                       0|                       0|              25.716.958|                       0|                       0|                       0|                       0|                       0|              25.716.958|                       0|                       0|                       0|              25.716.958|                       0|                       0|                       0|              25.716.958|           2.700.000.000|             450.000.000|           5.400.000.000|           5.400.000.000|           5.374.283.042
PK01|PENJUALAN PRODUK UTAMA (CORE)|0006202002|Customer Claim Expenses (SD Posting)|           3.713.022.413|             309.418.534|           1.085.327.289|             292.106.831|             257.969.368|             397.471.747|             209.243.954|             290.876.661|           2.532.995.850|             908.451.378|              61.955.157|                       0|           3.503.402.385|                       0|                       0|                       0|           3.503.402.385|                       0|                       0|                       0|                       0|           3.503.402.385-
PK01|PENJUALAN PRODUK UTAMA (CORE)|0006203001|Izin Eksport|             200.000.000|              16.666.667|                       0|                       0|              25.000.000|                       0|                       0|                       0|              25.000.000|                       0|              25.000.000|                       0|              50.000.000|                       0|                       0|                       0|              50.000.000|             149.999.985|              24.999.998|             299.999.970|             299.999.970|             249.999.970
PK01|PENJUALAN PRODUK UTAMA (CORE)|0006204001|Penyelidikan dan Penelitian Pasar|             289.313.647|              24.109.471|              64.500.000|              20.500.000|              16.500.000|                       0|              16.500.000|              33.000.000|             151.000.000|              16.500.000|              16.500.000|                       0|             184.000.000|                       0|                       0|                       0|             184.000.000|           3.633.000.255|             605.500.009|           7.266.000.105|           7.266.000.105|           7.082.000.105
PK03|HASIL INVESTASI, BUNGA DAN PINJAMAN|0006106001|Biaya Asuransi|          62.254.916.058|           5.187.909.672|           5.447.254.951|           5.230.163.971|           5.263.416.068|           6.000.815.745|           4.775.062.547|           4.338.770.208|          31.055.483.490|           5.098.221.353|           4.697.478.515|                       0|          40.851.183.358|                       0|                       0|                       0|          40.851.183.358|          37.148.906.745|           6.191.484.458|          74.297.813.490|          74.297.813.490|          33.446.630.132
PK04|PENGURUSAN BARANG|0006109001|Biaya Gudang dan Pengurusan Barang|           9.986.087.448|             832.173.954|           1.845.641.103|           1.044.604.200|           1.119.223.821|           1.618.987.852|               4.375.708|             291.132.871|           5.923.965.555|           1.007.571.946|           2.360.422.540|                       0|           9.291.960.041|                       0|                       0|                       0|           9.291.960.041|          13.426.231.410|           2.237.705.168|          26.852.462.010|          26.852.462.010|          17.560.501.969
PK06|SDM|0006101001|Gaji dan Upah|         460.361.554.103|          38.363.462.842|          39.348.306.669|          44.846.064.509|          39.005.307.659|          43.476.757.345|          43.896.508.855|          44.677.575.156|         255.250.520.193|          36.549.905.192|             660.074.070|                       0|         292.460.499.455|                       0|                       0|                       0|         292.460.499.455|         303.433.777.890|          50.572.295.505|         606.867.546.060|         606.867.546.060|         314.407.046.605
PK06|SDM|0006101002|Lembur|          38.680.362.156|           3.223.363.513|           3.244.358.973|           3.483.580.092|           3.654.988.097|           4.032.550.649|           3.998.171.444|           3.702.811.456|          22.116.460.711|           3.653.519.369|                       0|                       0|          25.769.980.080|                       0|                       0|                       0|          25.769.980.080|          15.813.415.620|           2.635.568.854|          31.626.826.245|          31.626.826.245|           5.856.846.165
PK06|SDM|0006101003|Tunjangan Pajak|          82.080.769.465|           6.840.064.122|           4.284.413.304|           9.419.345.417|           5.407.091.051|           5.988.022.910|          13.666.334.489|          14.632.342.353|          53.397.549.524|           8.891.984.084|           2.643.148.450|                       0|          64.932.682.058|                       0|                       0|                       0|          64.932.682.058|          44.239.452.075|           7.373.241.225|          88.478.894.700|          88.478.894.700|          23.546.212.642
PK06|SDM|0006101004|Astek (Iuran Jaminan Kecelakaan /JKK)|           3.286.279.983|             273.856.665|             256.253.029|             288.681.049|             285.975.886|             291.289.503|             287.593.902|             284.088.462|           1.693.881.831|             282.232.769|                       0|                       0|           1.976.114.600|                       0|                       0|                       0|           1.976.114.600|           2.624.870.475|             437.477.648|           5.249.731.770|           5.249.731.770|           3.273.617.170
PK06|SDM|0006101006|Iuran Jaminan Kematian|           1.079.302.271|              89.941.856|              86.416.589|              97.436.165|              96.391.428|              98.182.252|              96.945.453|              95.938.642|             571.310.529|              95.128.565|                       0|                       0|             666.439.094|                       0|                       0|                       0|             666.439.094|             884.802.690|             147.466.305|           1.769.595.660|           1.769.595.660|           1.103.156.566
PK06|SDM|0006101007|Iuran Jaminan Hari Tua|          19.434.022.290|           1.619.501.857|           1.557.464.818|           1.729.929.096|           1.722.051.164|           1.756.076.409|           1.733.328.889|           1.715.311.004|          10.214.161.380|           1.701.988.646|                       0|                       0|          11.916.150.026|                       0|                       0|                       0|          11.916.150.026|          10.912.419.360|           1.818.735.739|          21.824.828.865|          21.824.828.865|           9.908.678.839
PK06|SDM|0006101008|Insentif Kinerja|           8.461.077.851|             705.089.821|             829.775.869|             852.375.125|           1.060.560.178|           1.169.441.692|             836.302.065|             713.551.610|           5.462.006.539|             617.343.353|                       0|                       0|           6.079.349.892|                       0|                       0|                       0|           6.079.349.892|           8.613.492.345|           1.435.581.293|          17.226.975.510|          17.226.975.510|          11.147.625.618
PK06|SDM|0006101010|Apresiasi Kinerja|          21.644.044.350|           1.803.670.362|                       0|          17.736.237.619|             163.619.697|              18.354.617|                       0|              16.612.295|          17.934.824.228|           2.534.109.908|                       0|                       0|          20.468.934.136|                       0|                       0|                       0|          20.468.934.136|          10.322.543.880|           1.720.423.193|          20.645.078.310|          20.645.078.310|             176.144.174
PK06|SDM|0006102001|Tunjangan Pemindahan Sementara|                       0|                       0|                       0|                       0|                       0|                       0|                       0|                       0|                       0|                       0|                 253.000|                       0|                 253.000|                       0|                       0|                       0|                 253.000|                       0|                       0|                       0|                       0|                 253.000-
PK06|SDM|0006102002|Biaya Perawatan Pengobatan dan Medis|          48.181.760.856|           4.015.146.738|           3.823.699.675|           2.385.025.058|           6.201.305.410|           3.281.207.813|           6.658.644.877|           2.539.852.285|          24.889.735.118|           2.673.533.585-|             136.096.298|                       0|          22.352.297.831|                       0|                       0|                       0|          22.352.297.831|          20.229.186.645|           3.371.530.275|          40.458.363.300|          40.458.363.300|          18.106.065.469
PK06|SDM|0006102003|Pakaian Kerja|              14.000.000|               1.166.667|                       0|                       0|                       0|              19.000.000|                       0|                       0|              19.000.000|                       0|                       0|                       0|              19.000.000|                       0|                       0|                       0|              19.000.000|           2.776.656.645|             462.775.185|           5.553.302.220|           5.553.302.220|           5.534.302.220
